,Unnamed: 0,Series_Title,Released_Year,meta_score
0,19,Soorarai Pottru,2020,78.09
1,53,Ayla: The Daughter of War,2017,80.64999999999999
2,54,Vikram Vedha,2017,73.58
3,56,Dangal,2016,79.0
4,64,Taare Zameen Par,2007,79.9
5,70,Once Upon a Time in America,1984,84.17999999999999
6,75,Anand,1971,70.25
7,76,Tengoku to jigoku,1963,83.19000000000001
8,78,Witness for the Prosecution,1957,82.15
9,81,Sunset Blvd.,1950,83.13000000000001
10,82,The Great Dictator,1940,83.0
11,84,Tumbbad,2018,74.85000000000001
12,85,Andhadhun,2018,76.65
13,86,Drishyam,2013,76.5
14,90,Miracle in cell NO.7,2019,82.66
15,91,Babam ve Oglum,2005,75.55
16,104,Idi i smotri,1985,82.6
17,120,Ikiru,1952,83.0
18,121,Ladri di biciclette,1948,81.98
19,124,M - Eine Stadt sucht einen Mörder,1931,80.9
20,126,The Kid,1921,82.0
21,127,Chhichhore,2019,76.56
22,128,Uri: The Surgical Strike,2018,0.0
23,129,K.G.F: Chapter 1,2018,73.57000000000001
24,132,Talvar,2015,74.59
25,133,Baahubali 2: The Conclusion,2017,74.31
26,135,Drishyam,2015,76.92999999999999
27,136,Queen,2013,59.0
28,138,Bhaag Milkha Bhaag,2013,74.0
29,140,Udaan,2010,71.72
30,141,Paan Singh Tomar,2012,73.12
31,152,Rang De Basanti,2006,71.3
32,153,Black,2005,78.0
33,155,"Swades: We, the People",2004,72.75
34,159,Hera Pheri,2000,69.65
35,162,Eskiya,1996,73.0
36,165,Andaz Apna Apna,1994,67.51
37,168,Dom za vesanje,1988,76.89
38,173,Stalker,1979,81.58
39,174,Höstsonaten,1978,80.19999999999999
40,175,The Message,1976,73.0
41,176,Sholay,1975,70.0
42,180,Yôjinbô,1961,81.05000000000001
43,187,Tôkyô monogatari,1953,82.0
44,192,The Gold Rush,1925,80.03
45,193,Sherlock Jr.,1924,80.73
46,195,Pink,2016,73.78999999999999
47,197,Contratiempo,2016,0.0
48,200,Haider,2014,72.24000000000001
49,206,PK,2014,77.06
50,207,OMG: Oh My God!,2012,72.41
51,213,Barfi!,2012,75.21
52,219,Kahaani,2012,71.0
53,220,Zindagi Na Milegi Dobara,2011,76.0
54,223,A Wednesday,2008,70.0
55,227,Hachi: A Dog's Tale,2009,80.07
56,228,Mary and Max,2009,78.49000000000001
57,232,Lage Raho Munna Bhai,2006,72.41
58,237,Munna Bhai M.B.B.S.,2003,72.0
59,239,Dil Chahta Hai,2001,69.0
60,245,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,83.14999999999999
61,255,Underground,1995,77.5
62,256,La haine,1995,80.95
63,257,Dilwale Dulhania Le Jayenge,1995,85.37
64,263,Ba wang bie ji,1993,79.46
65,264,Dà hóng denglong gaogao guà,1991,79.38
66,272,Fitzcarraldo,1982,76.24
67,281,Zerkalo,1975,80.0
68,284,Viskningar och rop,1972,79.4
69,286,Le samouraï,1967,77.94
70,289,Andrei Rublev,1966,80.10999999999999
71,291,El ángel exterminador,1962,79.4
72,293,Sanjuro,1962,79.50999999999999
73,295,Ivanovo detstvo,1962,78.62
74,296,Jungfrukällan,1960,78.0
75,298,Les quatre cents coups,1959,80.46
76,300,Kakushi-toride no san-akunin,1958,79.50999999999999
77,301,Le notti di Cabiria,1957,79.88000000000001
78,302,Kumonosu-jô,1957,79.32000000000001
79,307,White Heat,1949,76.6
80,309,The Red Shoes,1948,80.0
81,314,La Grande Illusion,1937,78.62
82,316,La passion de Jeanne d'Arc,1928,80.0
83,318,Sunrise: A Song of Two Humans,1927,78.63000000000001
84,319,The General,1926,79.67
85,320,Das Cabinet des Dr. Caligari,1920,79.45
86,321,Badhaai ho,2018,72.03999999999999
87,323,Airlift,2016,70.99000000000001
88,324,Bajrangi Bhaijaan,2015,78.0
89,325,Baby,2015,67.0
90,330,Bãhubali: The Beginning,2015,75.65
91,334,Special Chabbis,2013,72.78
92,349,Dev.D,2009,69.0
93,352,Nefes: Vatan Sagolsun,2009,71.57
94,365,G.O.R.A.,2004,73.37
95,378,Yeopgijeogin geunyeo,2001,75.0
96,380,Vizontele,2001,72.86
97,385,Pâfekuto burû,1997,0.0
98,389,Knockin' on Heaven's Door,1997,77.07
99,404,Akira,1988,79.0
100,419,Sleuth,1972,76.85
101,432,Vivre sa vie: Film en douze tableaux,1962,77.47
102,442,La Strada,1954,79.21000000000001
103,443,Les diaboliques,1955,78.96
104,447,In a Lonely Place,1950,75.58
105,448,Kind Hearts and Coronets,1949,76.76
106,450,Out of the Past,1947,75.93
107,452,Laura,1944,76.27
108,454,Arsenic and Old Lace,1942,0.0
109,458,La règle du jeu,1939,75.46000000000001
110,463,Dil Bechara,2020,67.13
111,489,Jab We Met,2007,72.89
112,494,The Man from Earth,2007,76.36
113,521,Jûbê ninpûchô,1993,77.58
114,537,Amarcord,1973,79.05
115,539,"Aguirre, der Zorn Gottes",1972,75.0
116,544,The Lion in Winter,1968,74.17
117,549,L'avventura,1960,75.0
118,550,Hiroshima mon amour,1959,77.31
119,551,The Ten Commandments,1956,77.59
120,556,Harvey,1950,77.0
121,559,The Big Sleep,1946,76.03
122,560,The Lost Weekend,1945,76.34
123,562,His Girl Friday,1940,74.0
124,564,A Night at the Opera,1935,74.5
125,567,Nosferatu,1922,77.05
126,569,Raazi,2018,71.42
127,573,Perfetti sconosciuti,2016,78.67
128,576,Udta Punjab,2016,72.15
129,578,M.S. Dhoni: The Untold Story,2016,71.6
130,590,Vicky Donor,2012,67.67999999999999
131,593,English Vinglish,2012,71.97
132,600,Kokuhaku,2010,76.0
133,604,Ajeossi,2010,76.88
134,652,Hana-bi,1997,76.74000000000001
135,664,Batman: Mask of the Phantasm,1993,74.7
136,665,Lat sau san taam,1992,75.24
137,707,À bout de souffle,1960,75.5
138,708,Red River,1948,74.0
139,709,Key Largo,1948,74.84
140,710,To Have and Have Not,1944,0.0
141,737,Rockstar,2011,72.4
142,760,Toki o kakeru shôjo,2006,77.84
143,761,Death Note: Desu nôto,2006,70.47
144,797,Interstate 60: Episodes of the Road,2002,73.82
145,803,Abre los ojos,1997,74.42
146,811,Hamlet,1996,73.77
147,828,Spoorloos,1988,74.72
148,836,Zelig,1983,74.34
149,856,Belle de jour,1967,73.82
150,863,Peeping Tom,1960,74.0
151,870,The Quiet Man,1952,73.03
152,871,The Day the Earth Stood Still,1951,74.58
153,873,Gilda,1946,75.21
154,898,El cuerpo,2012,75.53
155,908,Celda 211,2009,74.48
156,912,Die Welle,2008,75.01
